2026-07-24 14:33:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:40 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:42 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:44 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:46 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:48 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:50 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:57 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:33:59 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:01 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:03 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:05 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:07 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:09 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:11 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:14 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:16 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:18 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:20 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:22 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:24 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:26 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:28 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:30 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:33 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:35 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:37 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:39 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:41 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:43 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:45 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:47 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:50 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:56 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:34:58 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:00 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:02 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:04 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:06 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:09 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:11 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:13 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:15 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:17 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:19 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:21 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:23 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:26 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:28 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:30 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:32 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:34 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:36 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:40 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
